096,10/06/2019,18:30,22:00,Ankara,Paris
097,10/06/2019,22:15,23:30,Izmir,Trabzon
098,11/06/2019,02:00,05:30,Paris,Trabzon
100,11/06/2019,04:00,07:00,Izmir,Manchester
101,11/06/2019,08:00,10:00,Izmir,Milano
102,11/06/2019,12:00,13:00,Ankara,Izmir
103,11/06/2019,14:00,15:15,Istanbul,Izmir
104,11/06/2019,17:00,20:00,Milano,Izmir
105,12/06/2019,02:00,04:45,Ankara,Viyana
106,12/06/2019,04:30,07:00,Barcelona,Istanbul
107,12/06/2019,07:00,10:30,Antalya,Manchester
108,12/06/2019,12:00,15:30,Paris,Ankara
109,12/06/2019,12:15,15:15,Manchester,Izmir
110,12/06/2019,21:00,00:00,Istanbul,Manchester
111,13/06/2019,06:00,07:00,Ankara,Izmir
112,13/06/2019,08:30,09:30,Antalya,Izmir
